,Start Date,End Date,Time Scheduled,Duration (in seconds),expiwellID,Participant ID,onTask,visImag,inSpeech,intent,struct,real,concAbs,import,relGoal,fullDev,oftMind,emotVal,tempOr,funct,functOth
32,04/27/2024 09:31AM,04/27/2024 09:34AM,04/27/2024 09:30AM - 04/27/2024 09:50AM,196.802,662c23eb984be5dc85b1f907,37,3.0,5.0,7.0,1.0,5.0,6.0,6.0,7.0,7.0,2.0,4.0,4.0,4.0,1.0,
33,04/27/2024 11:17AM,04/27/2024 11:19AM,04/27/2024 11:10AM - 04/27/2024 11:30AM,117.11,662c23eb984be5dc85b1f907,37,4.0,5.0,4.0,2.0,5.0,6.0,5.0,7.0,6.0,5.0,2.0,4.0,2.0,4.0,
34,04/27/2024 01:42PM,04/27/2024 01:44PM,04/27/2024 01:38PM - 04/27/2024 01:58PM,104.529,662c23eb984be5dc85b1f907,37,3.0,5.0,4.0,5.0,4.0,6.0,3.0,5.0,5.0,4.0,3.0,6.0,3.0,4.0,
35,04/27/2024 03:28PM,04/27/2024 03:36PM,04/27/2024 03:28PM - 04/27/2024 03:48PM,439.129,662c23eb984be5dc85b1f907,37,4.0,5.0,5.0,6.0,4.0,6.0,6.0,6.0,3.0,4.0,3.0,6.0,2.0,4.0,
36,04/27/2024 06:02PM,04/27/2024 06:04PM,04/27/2024 06:00PM - 04/27/2024 06:20PM,72.573,662c23eb984be5dc85b1f907,37,5.0,3.0,5.0,1.0,5.0,6.0,5.0,4.0,3.0,4.0,2.0,6.0,2.0,3.0,
37,04/28/2024 09:05AM,04/28/2024 09:06AM,04/28/2024 09:01AM - 04/28/2024 09:21AM,59.464,662c23eb984be5dc85b1f907,37,3.0,2.0,5.0,4.0,3.0,5.0,5.0,3.0,4.0,3.0,3.0,3.0,4.0,5.0,
38,04/28/2024 11:04AM,04/28/2024 11:05AM,04/28/2024 11:00AM - 04/28/2024 11:20AM,62.09,662c23eb984be5dc85b1f907,37,2.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,5.0,2.0,2.0,6.0,
39,04/28/2024 01:39PM,04/28/2024 01:40PM,04/28/2024 01:36PM - 04/28/2024 01:56PM,59.371,662c23eb984be5dc85b1f907,37,4.0,2.0,5.0,5.0,4.0,3.0,2.0,5.0,7.0,4.0,3.0,4.0,4.0,3.0,
40,04/28/2024 04:42PM,04/28/2024 04:42PM,04/28/2024 04:35PM - 04/28/2024 04:55PM,32.142,662c23eb984be5dc85b1f907,37,1.0,,,,,,,,,,,,,,
41,04/28/2024 06:33PM,04/28/2024 06:35PM,04/28/2024 06:32PM - 04/28/2024 06:52PM,87.432,662c23eb984be5dc85b1f907,37,3.0,3.0,4.0,6.0,3.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,
